FID,id,terrai_nome,etnia_nome,municipio_nome,uf_sigla,superficie_perimetro_ha,fase_ti,modalidade_ti,reestudo_ti,superficie_ti,terrai_codigo,gid,the_geom,undadm_codigo,undadm_nome,undadm_sigla
tis_pontos.fid-8091ffc_197eb0e14a4_3913,97,Karugwá (Guarani Barão de Antonina),Guaraní,Barão de Antonina,SP,0,Em Estudo,Tradicionalmente ocupada,,,73735,6,POINT (-49.5663 -23.6513),30202002074,COORDENACAO REGIONAL LITORAL SUDESTE,CR-LIS
tis_pontos.fid-8091ffc_197eb0e14a4_3914,98,Jeju,Tembé,Santa Maria do Pará,PA,0,Em Estudo,Tradicionalmente ocupada,,,73737,1,POINT (-47.5663 -1.4377),30202001906,COORDENACAO REGIONAL DO BAIXO TOCANTINS,CR- BTC
tis_pontos.fid-8091ffc_197eb0e14a4_3915,99,Iguatemipeguá III,Guarani Kaiowá,Tacuru,MS,0,Em Estudo,Tradicionalmente ocupada,,,73739,48,POINT (-55.0836 -23.758),30202002018,COORDENACAO REGIONAL DE PONTA PORA,CR-PTPR
tis_pontos.fid-8091ffc_197eb0e14a4_3916,100,Apucarana - Reestudo,Kaingang,Londrina,PR,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,73740,122,POINT (-50.97584999999999 -23.846297222311268),30202002088,COORDENACAO REGIONAL INTERIOR DO SUL,CR-INTSUL
tis_pontos.fid-8091ffc_197eb0e14a4_3917,101,Tabajara,Tabajara,"Alhandra, Conde, Pitimbu",PB,0,Em Estudo,Tradicionalmente ocupada,,,73741,92,POINT (-34.864894 -7.322547),30202001976,COORDENACAO REGIONAL NORDESTE II,CR-NE-II
tis_pontos.fid-8091ffc_197eb0e14a4_3918,102,Douradopeguá,Guaraní,Dourados,MS,0,Em Estudo,Tradicionalmente ocupada,principal,,73743,41,POINT (-54.863416667688725 -22.258416667688714),30202002011,COORDENACAO REGIONAL DOURADOS,CR-DOU
tis_pontos.fid-8091ffc_197eb0e14a4_3919,103,Apykai,"Guarani Kaiowá, Guaraní",Dourados,MS,0,Em Estudo,Tradicionalmente ocupada,principal,,73744,119,POINT (-54.863416667688725 -22.258416667688714),30202002011,COORDENACAO REGIONAL DOURADOS,CR-DOU
tis_pontos.fid-8091ffc_197eb0e14a4_391a,104,Aldeia Renascer (Ywyty Guasu),"Guarani Mbya, Guaraní",Ubatuba,SP,0,Em Estudo,Tradicionalmente ocupada,,,73746,47,POINT (-45.19262500139414 -23.476666548452556),30202002074,COORDENACAO REGIONAL LITORAL SUDESTE,CR-LIS
tis_pontos.fid-8091ffc_197eb0e14a4_391b,105,Guarani de Paranapuã (Xixova Japui),"Guaraní Mbya, Guaraní Nhandeva",São Vicente,SP,0,Em Estudo,Tradicionalmente ocupada,,,73747,49,POINT (-46.38211111125001 -23.983722222311286),30202002074,COORDENACAO REGIONAL LITORAL SUDESTE,CR-LIS
tis_pontos.fid-8091ffc_197eb0e14a4_391c,106,Taquaritiua,Gamela,"Matinha, Penalva, Viana",MA,0,Em Estudo,Tradicionalmente ocupada,,,73748,103,POINT (-45.179008333333336 -3.2196527777777777),30202001997,COORDENACAO REGIONAL MARANHÃO,CR-MA
tis_pontos.fid-8091ffc_197eb0e14a4_391d,107,Mukurin,Mucurim,Campanário,MG,0,Em Estudo,Tradicionalmente ocupada,,,73749,125,POINT (-41.748000000000005 -18.239000000000004),30202002067,COORDENACAO REGIONAL DE MINAS GERAIS E ESPIRITO SANTOS,CR-MGES
tis_pontos.fid-8091ffc_197eb0e14a4_391e,108,Fulkaxó,"Fulni-ô, Kariri - Xocó","Neópolis, Pacatuba",SE,0,Em Estudo,Reserva Indígena,,,73750,114,POINT (-36.67069166768872 -10.383269444374996),30202001969,COORDENACAO REGIONAL NORDESTE I,CR-NE-I
tis_pontos.fid-8091ffc_197eb0e14a4_391f,109,Surubabel,"Atikum, Tuxá",Rodelas,BA,0,Em Estudo,Tradicionalmente ocupada,,,73751,127,POINT (-38.75599999999999 -8.851),30202001983,COORDENACAO REGIONAL BAIXO SÃO FRANCISCO,CR-BSF
tis_pontos.fid-8091ffc_197eb0e14a4_3920,110,Guarani de Ocoy,Ava-Guarani,São Miguel do Iguaçu,PR,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,73752,118,POINT (-54.305588888889 -25.245447222222),30202002408,COORDENACAO REGIONAL DE GUARAPUAVA,CR-GRP
tis_pontos.fid-8091ffc_197eb0e14a4_3921,111,Guarani de Santa Helena,Ava-Guarani,Santa Helena,PR,0,Em Estudo,Tradicionalmente ocupada,Principal,,73753,54,POINT (-54.333000000000006 -24.860000000000003),30202002408,COORDENACAO REGIONAL DE GUARAPUAVA,CR-GRP
