FID,cod_aldeia,nome_aldeia,cod_ti,cod_municipio,data_cadastro,flag_ativo,nome_cr,the_geom,nommunic,nomuf,undadm_codigo,coord_lat,coord_long
aldeias_pontos.fid-8091ffc_197eb49b98a_3ad1,3854,PROJETO MAPI,5901,1304203,01/04/2019,A,COORDENACAO REGIONAL DO ALTO SOLIMOES,POINT (-64.632433333333 -3.4786),Tefé,Amazonas,30202001857,-3.4786,-64.63243333
aldeias_pontos.fid-8091ffc_197eb49b98a_3ad2,1775,PROSPERIDADE,53401,1304237,10/05/2018,A,COORDENACAO REGIONAL DO ALTO SOLIMOES,POINT (-67.4683694444 -2.68893055556),Tonantins,Amazonas,30202001857,-2.68893056,-67.46836944
aldeias_pontos.fid-8091ffc_197eb49b98a_3ad3,3112,PROTERITO,35901,5006358,06/09/2018,A,COORDENACAO REGIONAL DE PONTA PORA,POINT (-55.2766 -23.9319444444),Paranhos,Mato Grosso do Sul,30202002018,-23.93194444,-55.2766
aldeias_pontos.fid-8091ffc_197eb49b98a_3ad4,2077,PROTOTÓ,37901,1400704,01/06/2018,A,COORDENACAO REGIONAL DE RORAIMA,POINT (-60.2031138889 4.654275),Uiramutã,Roraima,30202001955,4.654275,-60.20311389
aldeias_pontos.fid-8091ffc_197eb49b98a_3ad5,3276,PUNYIA,1101,1303809,13/09/2018,A,COORDENACAO REGIONAL DO RIO NEGRO,POINT (-70.0429722222 0.260077777778),São Gabriel da Cachoeira,Amazonas,30202001885,0.26007778,-70.04297222
aldeias_pontos.fid-8091ffc_197eb49b98a_3ad6,3993,PUPUNHA,40701,1100189,15/10/2019,A,COORDENACAO REGIONAL DE CACOAL,POINT (-60.4466388889 -11.5306666667),Pimenta Bueno,Rondônia,30202001934,-11.53066667,-60.44663889
aldeias_pontos.fid-8091ffc_197eb49b98a_3ad7,3221,PUPUNHA RUBITÁ,1101,1303809,13/09/2018,A,COORDENACAO REGIONAL DO RIO NEGRO,POINT (-68.6057972222 1.41611944444),São Gabriel da Cachoeira,Amazonas,30202001885,1.41611944,-68.60579722
aldeias_pontos.fid-8091ffc_197eb49b98a_3ad8,3827,PUTIRI,10701,1302801,01/04/2019,A,COORDENACAO REGIONAL DO ALTO SOLIMOES,POINT (-64.866097222222 -2.7912638888889),Maraã,Amazonas,30202001857,-2.79126389,-64.86609722
aldeias_pontos.fid-8091ffc_197eb49b98a_3ad9,3994,PUUXURA ( EZEQUIEL),40701,1100189,15/10/2019,A,COORDENACAO REGIONAL DE CACOAL,POINT (-60.4849722222 -11.5020555556),Pimenta Bueno,Rondônia,30202001934,-11.50205556,-60.48497222
aldeias_pontos.fid-8091ffc_197eb49b98a_3ada,163,PUWAYTYEKET,47601,1600501,,A,COORDENACAO REGIONAL AMAPÁ E NORTE DO PARÁ,POINT (-51.4937222222 3.47811111111),Oiapoque,Amapá,30202001899,3.47811111,-51.49372222
